Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2021-01-04T15:00:00Z,AVGO,38.1730284324,91,Market On Close,Filled,3473.7455873484,""
2021-01-04T15:00:00Z,COST,358.67730328,10,Market On Close,Filled,3586.7730328,""
2021-01-04T15:00:00Z,PG,119.85702357,24,Market On Close,Filled,2876.56856568,""
2021-01-04T15:00:00Z,SCHD,17.521712024162,168,Market On Close,Filled,2943.6476200592,""
2021-01-04T15:00:00Z,VIG,126.495166783,23,Market On Close,Filled,2909.388836009,""
2021-01-11T15:00:00Z,COST,343.448967952,-10,Market On Close,Filled,-3434.48967952,""
2021-01-11T15:00:00Z,PG,119.883113475,-24,Market On Close,Filled,-2877.1947234,""
2021-01-11T15:00:00Z,SCHD,18.292079878458,-168,Market On Close,Filled,-3073.069419581,""
2021-01-11T15:00:00Z,GOOGL,87.04267201515,40,Market On Close,Filled,3481.706880606,""
2021-01-11T15:00:00Z,TSLA,270.396639627,12,Market On Close,Filled,3244.759675524,""
2021-01-11T15:00:00Z,USMV,62.266668475,48,Market On Close,Filled,2988.8000868,""
2021-01-11T15:00:00Z,XLV,108.441383662,27,Market On Close,Filled,2927.917358874,""
2021-01-19T15:00:00Z,USMV,61.9097083,-48,Market On Close,Filled,-2971.6659984,""
2021-01-19T15:00:00Z,AVGO,41.2297793334,-7,Market On Close,Filled,-288.6084553338,""
2021-01-19T15:00:00Z,LLY,187.716350208,18,Market On Close,Filled,3378.894303744,""
2021-01-19T15:00:00Z,SCHD,18.372441992756,164,Market On Close,Filled,3013.0804868119,""
2021-01-25T15:00:00Z,SCHD,18.244971052836,-164,Market On Close,Filled,-2992.1752526651,""
2021-01-25T15:00:00Z,GOOGL,93.8815302398,-4,Market On Close,Filled,-375.5261209592,""
2021-01-25T15:00:00Z,USMV,62.4588778,49,Market On Close,Filled,3060.4850122,""
2021-01-25T15:00:00Z,XLV,108.827557828,1,Market On Close,Filled,108.827557828,""
2021-02-01T15:00:00Z,USMV,61.021884275,-49,Market On Close,Filled,-2990.072329475,""
2021-02-01T15:00:00Z,XLV,106.170311781,-28,Market On Close,Filled,-2972.768729868,""
2021-02-01T15:00:00Z,JNJ,140.5131018,21,Market On Close,Filled,2950.7751378,""
2021-02-01T15:00:00Z,SCHD,17.798822763118,170,Market On Close,Filled,3025.79986973,""
