Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2023-01-03T15:00:00Z,NFLX,29.488,101,Market,Filled,2978.288,""
2023-01-03T15:00:00Z,SCHD,22.332021420798,178,Market,Filled,3975.099812902,""
2023-01-03T15:00:00Z,SGOV,85.7503827,46,Market,Filled,3944.5176042,""
2023-01-03T15:00:00Z,XLV,128.72860715,30,Market,Filled,3861.8582145,""
2023-01-09T15:00:00Z,SGOV,85.81032405,-46,Market,Filled,-3947.2749063,""
2023-01-09T15:00:00Z,AVGO,56.1427594573,64,Market,Filled,3593.1366052672,""
2023-01-09T15:00:00Z,LLY,353.271160544,10,Market,Filled,3532.71160544,""
2023-01-09T15:00:00Z,NFLX,31.555,13,Market,Filled,410.215,""
2023-01-09T15:00:00Z,PG,140.631886304,21,Market,Filled,2953.269612384,""
2023-01-09T15:00:00Z,SCHD,22.949891751344,-47,Market,Filled,-1078.6449123132,""
2023-01-09T15:00:00Z,XLV,128.55804293,-7,Market,Filled,-899.90630051,""
2023-01-17T15:00:00Z,SCHD,23.044493907217,-131,Market,Filled,-3018.8287018454,""
2023-01-17T15:00:00Z,SGOV,85.87882845,35,Market,Filled,3005.75899575,""
2023-01-23T15:00:00Z,PG,131.465563661,-21,Market,Filled,-2760.776836881,""
2023-01-23T15:00:00Z,NFLX,34.25,-9,Market,Filled,-308.25,""
2023-01-23T15:00:00Z,SCHD,22.450274115639,133,Market,Filled,2985.88645738,""
2023-01-30T15:00:00Z,LLY,332.872351968,-10,Market,Filled,-3328.72351968,""
2023-01-30T15:00:00Z,XLV,125.89534594,-23,Market,Filled,-2895.59295662,""
2023-01-30T15:00:00Z,NVDA,20.3191359835,179,Market,Filled,3637.1253410465,""
2023-01-30T15:00:00Z,VIG,146.38998863,20,Market,Filled,2927.7997726,""
2023-02-06T15:00:00Z,VIG,148.001880971,-20,Market,Filled,-2960.03761942,""
2023-02-06T15:00:00Z,NFLX,36.59,-5,Market,Filled,-182.95,""
2023-02-06T15:00:00Z,XLV,125.73425751,24,Market,Filled,3017.62218024,""
2023-02-13T15:00:00Z,NFLX,34.736,5,Market,Filled,173.68,""
2023-02-21T15:00:00Z,NVDA,21.3398320852,-8,Market,Filled,-170.7186566816,""
2023-02-27T15:00:00Z,XLV,121.77337729,-24,Market,Filled,-2922.56105496,""
2023-02-27T15:00:00Z,NFLX,31.715,9,Market,Filled,285.435,""
2023-02-27T15:00:00Z,NVDA,23.2335575994,-16,Market,Filled,-371.7369215904,""
2023-02-27T15:00:00Z,VIG,143.448992078,21,Market,Filled,3012.428833638,""
2023-03-06T15:00:00Z,NFLX,31.518,-114,Market,Filled,-3593.052,""
2023-03-06T15:00:00Z,AVGO,60.3723339636,-4,Market,Filled,-241.4893358544,""
2023-03-06T15:00:00Z,META,183.807587925,20,Market,Filled,3676.1517585,""
2023-03-13T14:00:00Z,SCHD,21.273659801967,-133,Market,Filled,-2829.3967536616,""
2023-03-13T14:00:00Z,VIG,139.207170128,-21,Market,Filled,-2923.350572688,""
2023-03-13T14:00:00Z,SGOV,86.46453776,69,Market,Filled,5966.05310544,""
2023-03-20T14:00:00Z,META,194.086921857,-3,Market,Filled,-582.260765571,""
