Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2021-01-04T15:00:00Z,AVGO,39.306854097,91,Market,Filled,3576.923722827,""
2021-01-04T15:00:00Z,COST,355.497657056,10,Market,Filled,3554.97657056,""
2021-01-04T15:00:00Z,PG,121.00497939,24,Market,Filled,2904.11950536,""
2021-01-04T15:00:00Z,SCHD,17.773882796612,168,Market,Filled,2986.0123098307,""
2021-01-04T15:00:00Z,VIG,128.220885293,23,Market,Filled,2949.080361739,""
2021-01-11T15:00:00Z,COST,349.044013088,-10,Market,Filled,-3490.44013088,""
2021-01-11T15:00:00Z,PG,120.700597165,-24,Market,Filled,-2896.81433196,""
2021-01-11T15:00:00Z,SCHD,18.21725997894,-168,Market,Filled,-3060.499676462,""
2021-01-11T15:00:00Z,GOOGL,89.10141663905,40,Market,Filled,3564.056665562,""
2021-01-11T15:00:00Z,TSLA,293.339970666,12,Market,Filled,3520.079647992,""
2021-01-11T15:00:00Z,USMV,62.782932888,47,Market,Filled,2950.797845736,""
2021-01-11T15:00:00Z,XLV,107.935679397,27,Market,Filled,2914.263343719,""
2021-01-19T15:00:00Z,USMV,61.782152004,-47,Market,Filled,-2903.761144188,""
2021-01-19T15:00:00Z,AVGO,40.025033457,-8,Market,Filled,-320.200267656,""
2021-01-19T15:00:00Z,LLY,180.424466592,18,Market,Filled,3247.640398656,""
2021-01-19T15:00:00Z,SCHD,18.253284375005,161,Market,Filled,2938.7787843758,""
2021-01-25T15:00:00Z,SCHD,18.211717764161,-161,Market,Filled,-2932.08656003,""
2021-01-25T15:00:00Z,GOOGL,93.7962861196,-4,Market,Filled,-375.1851444784,""
2021-01-25T15:00:00Z,USMV,62.195318424,48,Market,Filled,2985.375284352,""
2021-02-01T15:00:00Z,USMV,60.625286028,-48,Market,Filled,-2910.013729344,""
2021-02-01T15:00:00Z,XLV,105.765748369,-27,Market,Filled,-2855.675205963,""
2021-02-01T15:00:00Z,JNJ,140.8758054,21,Market,Filled,2958.3919134,""
2021-02-01T15:00:00Z,LLY,196.691703712,-1,Market,Filled,-196.691703712,""
2021-02-01T15:00:00Z,SCHD,17.613158568017,168,Market,Filled,2959.0106394269,""
2021-02-08T15:00:00Z,JNJ,142.015731,-21,Market,Filled,-2982.330351,""
2021-02-08T15:00:00Z,GOOGL,103.52353232405,-3,Market,Filled,-310.57059697215,""
2021-02-08T15:00:00Z,LLY,190.827932192,1,Market,Filled,190.827932192,""
2021-02-08T15:00:00Z,USMV,62.176955472,49,Market,Filled,3046.670818128,""
2021-02-16T15:00:00Z,TSLA,272.039972796,-12,Market,Filled,-3264.479673552,""
2021-02-16T15:00:00Z,MSFT,234.035419144,14,Market,Filled,3276.495868016,""
2021-03-08T15:00:00Z,USMV,61.203719016,-49,Market,Filled,-2998.982231784,""
2021-03-08T15:00:00Z,MSFT,221.75371128,1,Market,Filled,221.75371128,""
2021-03-08T15:00:00Z,SCHD,19.444860552514,-12,Market,Filled,-233.33832663016,""
2021-03-08T15:00:00Z,XLV,103.917629146,29,Market,Filled,3013.611245234,""
2021-03-29T14:00:00Z,XLV,107.968421086,-29,Market,Filled,-3131.084211494,""
2021-03-29T14:00:00Z,GOOGL,100.34670203055,1,Market,Filled,100.34670203055,""
2021-03-29T14:00:00Z,LLY,175.992483483,1,Market,Filled,175.992483483,""
2021-03-29T14:00:00Z,USMV,64.0684499,48,Market,Filled,3075.2855952,""
2021-04-12T14:00:00Z,USMV,65.239197114,-48,Market,Filled,-3131.481461472,""
2021-04-12T14:00:00Z,AVGO,43.8881054235,3,Market,Filled,131.6643162705,""
2021-04-12T14:00:00Z,LLY,175.213713657,2,Market,Filled,350.427427314,""
2021-04-12T14:00:00Z,META,310.027092702,12,Market,Filled,3720.325112424,""
2021-04-19T14:00:00Z,LLY,179.734377525,-21,Market,Filled,-3774.421928025,""
2021-04-19T14:00:00Z,AAPL,130.386387768,26,Market,Filled,3390.046081968,""
2021-04-19T14:00:00Z,AVGO,43.3181182785,-7,Market,Filled,-303.2268279495,""
2021-04-19T14:00:00Z,GOOGL,113.13431127125,-4,Market,Filled,-452.537245085,""
2021-04-19T14:00:00Z,META,303.795990666,-1,Market,Filled,-303.795990666,""
2021-04-19T14:00:00Z,MSFT,249.654847492,-2,Market,Filled,-499.309694984,""
2021-04-19T14:00:00Z,NVDA,15.85345985125,217,Market,Filled,3440.2007877212,""
2021-04-26T14:00:00Z,AAPL,130.541887336,-26,Market,Filled,-3394.089070736,""
2021-04-26T14:00:00Z,AVGO,42.1727155395,10,Market,Filled,421.727155395,""
2021-04-26T14:00:00Z,GOOGL,113.98576126255,3,Market,Filled,341.95728378765,""
2021-04-26T14:00:00Z,META,298.785311481,1,Market,Filled,298.785311481,""
2021-04-26T14:00:00Z,MSFT,250.04741667,2,Market,Filled,500.09483334,""
2021-04-26T14:00:00Z,NVDA,15.208611342925,31,Market,Filled,471.46695163067,""
2021-05-03T14:00:00Z,AVGO,41.27430723,-89,Market,Filled,-3673.41334347,""
2021-05-03T14:00:00Z,AMZN,172.964271634,21,Market,Filled,3632.249704314,""
2021-05-10T14:00:00Z,AMZN,164.194394147,-21,Market,Filled,-3448.082277087,""
2021-05-10T14:00:00Z,GOOGL,116.56290908255,-3,Market,Filled,-349.68872724765,""
2021-05-10T14:00:00Z,META,316.595547396,-1,Market,Filled,-316.595547396,""
2021-05-10T14:00:00Z,SCHD,21.603147143685,-11,Market,Filled,-237.63461858054,""
2021-05-10T14:00:00Z,USMV,67.221170744,46,Market,Filled,3092.173854224,""
2021-05-17T14:00:00Z,NVDA,14.1901541971,-248,Market,Filled,-3519.1582408808,""
2021-05-17T14:00:00Z,USMV,66.963053248,-46,Market,Filled,-3080.300449408,""
2021-05-17T14:00:00Z,COST,364.200776586,9,Market,Filled,3277.806989274,""
2021-05-17T14:00:00Z,XLV,113.901056085,27,Market,Filled,3075.328514295,""
2021-05-24T14:00:00Z,VIG,140.902545188,-23,Market,Filled,-3240.758539324,""
2021-05-24T14:00:00Z,JNJ,148.558273496,20,Market,Filled,2971.16546992,""
2021-06-01T14:00:00Z,JNJ,147.989915125,-20,Market,Filled,-2959.7983025,""
2021-06-01T14:00:00Z,COST,358.374246291,1,Market,Filled,358.374246291,""
2021-06-01T14:00:00Z,GOOGL,116.80674691475,2,Market,Filled,233.6134938295,""
2021-06-01T14:00:00Z,NVDA,16.18422803165,231,Market,Filled,3738.5566753111,""
2021-06-07T14:00:00Z,COST,367.137726816,-10,Market,Filled,-3671.37726816,""
2021-06-07T14:00:00Z,GOOGL,118.62660975995,-2,Market,Filled,-237.2532195199,""
2021-06-07T14:00:00Z,NVDA,17.513029419025,-28,Market,Filled,-490.3648237327,""
2021-06-07T14:00:00Z,VIG,142.178671228,22,Market,Filled,3127.930767016,""
2021-06-14T14:00:00Z,XLV,114.915970315,-27,Market,Filled,-3102.731198505,""
2021-06-14T14:00:00Z,AVGO,42.586182405,81,Market,Filled,3449.480774805,""
2021-06-14T14:00:00Z,LLY,213.753519688,16,Market,Filled,3420.056315008,""
2021-06-14T14:00:00Z,MSFT,247.496181963,-1,Market,Filled,-247.496181963,""
2021-06-21T14:00:00Z,AVGO,41.934768525,-81,Market,Filled,-3396.716250525,""
2021-06-21T14:00:00Z,MSFT,248.974114881,-14,Market,Filled,-3485.637608334,""
2021-06-21T14:00:00Z,VIG,137.128858184,-22,Market,Filled,-3016.834880048,""
2021-06-21T14:00:00Z,LLY,208.535598621,1,Market,Filled,208.535598621,""
2021-06-21T14:00:00Z,NVDA,18.5738498725,-11,Market,Filled,-204.3123485975,""
2021-06-21T14:00:00Z,SCHD,20.643131303687,8,Market,Filled,165.14505042949,""
2021-06-21T14:00:00Z,USMV,66.419679184,47,Market,Filled,3121.724921648,""
2021-06-21T14:00:00Z,XLV,114.168624382,27,Market,Filled,3082.552858314,""
2021-06-28T14:00:00Z,USMV,68.009905356,-47,Market,Filled,-3196.465551732,""
2021-06-28T14:00:00Z,COST,373.760075883,9,Market,Filled,3363.840682947,""
2021-06-28T14:00:00Z,LLY,219.543790415,-2,Market,Filled,-439.08758083,""
2021-06-28T14:00:00Z,META,338.711990769,-1,Market,Filled,-338.711990769,""
2021-06-28T14:00:00Z,MSFT,254.338819434,13,Market,Filled,3306.404652642,""
2021-07-19T14:00:00Z,XLV,119.13408207,-27,Market,Filled,-3216.62021589,""
2021-07-19T14:00:00Z,GOOGL,125.854022579,-2,Market,Filled,-251.708045158,""
2021-07-19T14:00:00Z,LLY,221.747336606,1,Market,Filled,221.747336606,""
2021-07-19T14:00:00Z,USMV,69.600131528,47,Market,Filled,3271.206181816,""
2021-07-26T14:00:00Z,LLY,232.869998332,-16,Market,Filled,-3725.919973312,""
2021-07-26T14:00:00Z,NVDA,19.489899044,-192,Market,Filled,-3742.060616448,""
2021-07-26T14:00:00Z,VIG,145.960084129,23,Market,Filled,3357.081934967,""
2021-08-02T14:00:00Z,SCHD,21.393433024656,-153,Market,Filled,-3273.1952527724,""
2021-08-02T14:00:00Z,XLV,122.403739275,27,Market,Filled,3304.900960425,""
2021-08-09T14:00:00Z,VIG,147.04968014,-23,Market,Filled,-3382.14264322,""
2021-08-09T14:00:00Z,LLY,251.299657384,14,Market,Filled,3518.195203376,""
2021-08-09T14:00:00Z,NVDA,20.295085588,182,Market,Filled,3693.705577016,""
2021-08-23T14:00:00Z,GOOGL,136.22159089565,-28,Market,Filled,-3814.2045450782,""
2021-08-23T14:00:00Z,META,356.571837369,-10,Market,Filled,-3565.71837369,""
2021-08-23T14:00:00Z,LLY,259.259840542,1,Market,Filled,259.259840542,""
2021-08-23T14:00:00Z,VIG,148.377339145,23,Market,Filled,3412.678800335,""
2021-08-30T14:00:00Z,LLY,248.57976295,-15,Market,Filled,-3728.69644425,""
2021-08-30T14:00:00Z,VIG,148.661183484,-23,Market,Filled,-3419.207220132,""
2021-08-30T14:00:00Z,AAPL,144.88228062,28,Market,Filled,4056.70385736,""
2021-08-30T14:00:00Z,GOOGL,142.7383056428,29,Market,Filled,4139.4108636412,""
2021-08-30T14:00:00Z,MSFT,288.19097048,1,Market,Filled,288.19097048,""
2021-09-07T14:00:00Z,AAPL,150.43967631,-3,Market,Filled,-451.31902893,""
2021-09-07T14:00:00Z,GOOGL,142.47613041265,-3,Market,Filled,-427.42839123795,""
2021-09-07T14:00:00Z,META,373.330326762,10,Market,Filled,3733.30326762,""
2021-09-07T14:00:00Z,MSFT,289.55634876,-1,Market,Filled,-289.55634876,""
2021-09-07T14:00:00Z,NVDA,22.7674741891,-15,Market,Filled,-341.5121128365,""
2021-09-13T14:00:00Z,AAPL,145.243023849,-25,Market,Filled,-3631.075596225,""
2021-09-13T14:00:00Z,META,375.741406053,-10,Market,Filled,-3757.41406053,""
2021-09-13T14:00:00Z,GOOGL,139.6377985732,2,Market,Filled,279.2755971464,""
2021-09-13T14:00:00Z,NVDA,22.4036809886,7,Market,Filled,156.8257669202,""
2021-09-13T14:00:00Z,PG,127.7315264,27,Market,Filled,3448.7512128,""
2021-09-27T14:00:00Z,PG,127.1999024,-27,Market,Filled,-3434.3973648,""
2021-09-27T14:00:00Z,USMV,70.224764099,2,Market,Filled,140.449528198,""
2021-09-27T14:00:00Z,VIG,145.54982288,23,Market,Filled,3347.64592624,""
2021-09-27T14:00:00Z,XLV,122.676611018,1,Market,Filled,122.676611018,""
