Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2026-01-05T15:00:00Z,AAPL,270.507411955,13,Market,Filled,3516.596355415,""
2026-01-05T15:00:00Z,JNJ,205.074147135,14,Market,Filled,2871.03805989,""
2026-01-05T15:00:00Z,LLY,1076.706330516,3,Market,Filled,3230.118991548,""
2026-01-05T15:00:00Z,SGOV,98.950510527,30,Market,Filled,2968.51531581,""
2026-01-05T15:00:00Z,VIG,219.74177776,13,Market,Filled,2856.64311088,""
2026-01-12T15:00:00Z,AAPL,258.888998335,-13,Market,Filled,-3365.556978355,""
2026-01-12T15:00:00Z,SGOV,99.009638409,-30,Market,Filled,-2970.28915227,""
2026-01-12T15:00:00Z,AMZN,247.38,14,Market,Filled,3463.32,""
2026-01-12T15:00:00Z,GOOGL,328.142859,10,Market,Filled,3281.42859,""
2026-01-12T15:00:00Z,SCHD,28.310622525,105,Market,Filled,2972.615365125,""
2026-01-20T15:00:00Z,NVDA,186.003134614,18,Market,Filled,3348.056423052,""
2026-01-26T15:00:00Z,VIG,222.271896144,-13,Market,Filled,-2889.534649872,""
2026-01-26T15:00:00Z,SGOV,99.147603467,30,Market,Filled,2974.42810401,""
2026-02-02T15:00:00Z,JNJ,224.755726725,-14,Market,Filled,-3146.58017415,""
2026-02-02T15:00:00Z,NVDA,190.897165434,-18,Market,Filled,-3436.148977812,""
2026-02-02T15:00:00Z,SGOV,99.206731349,-30,Market,Filled,-2976.20194047,""
2026-02-02T15:00:00Z,AMZN,239.3,1,Market,Filled,239.3,""
2026-02-02T15:00:00Z,USMV,94.600578996,31,Market,Filled,2932.617948876,""
2026-02-02T15:00:00Z,VIG,223.148472592,13,Market,Filled,2900.930143696,""
2026-02-09T15:00:00Z,AMZN,210.32,-15,Market,Filled,-3154.8,""
2026-02-09T15:00:00Z,USMV,95.636315412,-31,Market,Filled,-2964.725777772,""
2026-02-09T15:00:00Z,AAPL,277.60422646,12,Market,Filled,3331.25071752,""
2026-02-09T15:00:00Z,GOOGL,322.440282,1,Market,Filled,322.440282,""
2026-02-09T15:00:00Z,JNJ,237.355893759,12,Market,Filled,2848.270725108,""
2026-02-09T15:00:00Z,SCHD,31.206139785,-10,Market,Filled,-312.06139785,""
2026-02-17T15:00:00Z,AAPL,255.54455451,-12,Market,Filled,-3066.53465412,""
2026-02-17T15:00:00Z,TSLA,417.44,8,Market,Filled,3339.52,""
2026-02-23T15:00:00Z,LLY,1007.78513988,-3,Market,Filled,-3023.35541964,""
2026-02-23T15:00:00Z,NVDA,189.588761276,18,Market,Filled,3412.597702968,""
2026-03-02T15:00:00Z,GOOGL,311.354712,-11,Market,Filled,-3424.901832,""
2026-03-02T15:00:00Z,NVDA,176.974147142,-18,Market,Filled,-3185.534648556,""
2026-03-02T15:00:00Z,TSLA,402.51,-8,Market,Filled,-3220.08,""
2026-03-02T15:00:00Z,VIG,226.81415592,-13,Market,Filled,-2948.58402696,""
2026-03-02T15:00:00Z,XLV,159.54447762,18,Market,Filled,2871.80059716,""
2026-03-09T14:00:00Z,XLV,152.07516687,-18,Market,Filled,-2737.35300366,""
2026-03-09T14:00:00Z,COST,996.65385291,3,Market,Filled,2989.96155873,""
2026-03-09T14:00:00Z,SGOV,99.5644328,28,Market,Filled,2787.8041184,""
