Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2016-01-04T15:00:00Z,JNJ,77.957772384,38,Market,Filled,2962.395350592,"" 
2016-01-04T15:00:00Z,MSFT,48.468254516,74,Market,Filled,3586.650834184,"" 
2016-01-04T15:00:00Z,NVDA,0.8039076664,4463,Market,Filled,3587.8399151432,"" 
2016-01-04T15:00:00Z,SCHD,9.2067980446534,324,Market,Filled,2983.0025664677,"" 
2016-01-04T15:00:00Z,USMV,35.362751543,84,Market,Filled,2970.471129612,"" 
2016-01-11T15:00:00Z,SCHD,8.7603065419693,-324,Market,Filled,-2838.339319598,"" 
2016-01-11T15:00:00Z,USMV,34.043939867,-84,Market,Filled,-2859.690948828,"" 
2016-01-11T15:00:00Z,AMZN,30.281293035,107,Market,Filled,3240.098354745,"" 
2016-01-11T15:00:00Z,GOOGL,36.2459292274,89,Market,Filled,3225.8877012386,"" 
2016-01-11T15:00:00Z,JNJ,74.497030152,20,Market,Filled,1489.94060304,"" 
2016-01-11T15:00:00Z,XLU,15.554721717,279,Market,Filled,4339.767359043,"" 
2016-01-19T15:00:00Z,AMZN,28.442117886,-107,Market,Filled,-3043.306613802,"" 
2016-01-19T15:00:00Z,JNJ,73.6166659,-58,Market,Filled,-4269.7666222,"" 
2016-01-19T15:00:00Z,NVDA,0.661223811775,-4463,Market,Filled,-2951.0418719518,"" 
2016-01-19T15:00:00Z,DUK,46.965244888,90,Market,Filled,4226.87203992,"" 
2016-01-19T15:00:00Z,LLY,68.197210464,46,Market,Filled,3137.071681344,"" 
2016-01-19T15:00:00Z,NFLX,10.404,305,Market,Filled,3173.22,"" 
2016-01-25T15:00:00Z,NFLX,10.072,-305,Market,Filled,-3071.96,"" 
2016-01-25T15:00:00Z,DUK,47.030401998,-30,Market,Filled,-1410.91205994,"" 
2016-01-25T15:00:00Z,MSFT,45.681417243,-4,Market,Filled,-182.725668972,"" 
2016-01-25T15:00:00Z,NVDA,0.693906951125,4615,Market,Filled,3202.3805794419,"" 
2016-01-25T15:00:00Z,PG,58.41971912,48,Market,Filled,2804.14651776,"" 
2016-01-25T15:00:00Z,XLU,15.80368386,-99,Market,Filled,-1564.56470214,"" 
2016-02-01T15:00:00Z,DUK,49.050272408,-60,Market,Filled,-2943.01634448,"" 
2016-02-01T15:00:00Z,LLY,66.333623472,-46,Market,Filled,-3051.346679712,"" 
2016-02-01T15:00:00Z,JNJ,79.263140068,36,Market,Filled,2853.473042448,"" 
2016-02-01T15:00:00Z,META,111.336299277,29,Market,Filled,3228.752679033,"" 
2016-02-08T15:00:00Z,GOOGL,34.8995569264,-89,Market,Filled,-3106.0605664496,"" 
2016-02-08T15:00:00Z,JNJ,76.303294738,-36,Market,Filled,-2746.918610568,"" 
2016-02-08T15:00:00Z,META,103.259679759,-29,Market,Filled,-2994.530713011,"" 
2016-02-08T15:00:00Z,MSFT,43.820613672,-70,Market,Filled,-3067.44295704,"" 
2016-02-08T15:00:00Z,NVDA,0.644638338075,-4615,Market,Filled,-2975.0059302161,"" 
2016-02-08T15:00:00Z,DUK,51.487148322,72,Market,Filled,3707.074679184,"" 
2016-02-08T15:00:00Z,PG,61.31200873,12,Market,Filled,735.74410476,"" 
2016-02-08T15:00:00Z,XLU,16.803140579,41,Market,Filled,688.928763739,"" 
