Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2021-01-04T15:00:00Z,AVGO,39.306854097,91,Market,Filled,3576.923722827,""
2021-01-04T15:00:00Z,COST,355.497657056,10,Market,Filled,3554.97657056,""
2021-01-04T15:00:00Z,PG,121.00497939,24,Market,Filled,2904.11950536,""
2021-01-04T15:00:00Z,SCHD,17.773882796612,168,Market,Filled,2986.0123098307,""
2021-01-04T15:00:00Z,VIG,128.220885293,23,Market,Filled,2949.080361739,""
2021-01-11T15:00:00Z,COST,349.044013088,-10,Market,Filled,-3490.44013088,""
2021-01-11T15:00:00Z,PG,120.700597165,-24,Market,Filled,-2896.81433196,""
2021-01-11T15:00:00Z,SCHD,18.21725997894,-168,Market,Filled,-3060.499676462,""
2021-01-11T15:00:00Z,GOOGL,89.1546413962,40,Market,Filled,3566.185655848,""
2021-01-11T15:00:00Z,TSLA,293.339970666,12,Market,Filled,3520.079647992,""
2021-01-11T15:00:00Z,USMV,62.782932888,47,Market,Filled,2950.797845736,""
2021-01-11T15:00:00Z,XLV,107.935679397,27,Market,Filled,2914.263343719,""
2021-01-19T15:00:00Z,USMV,61.782152004,-47,Market,Filled,-2903.761144188,""
2021-01-19T15:00:00Z,AVGO,40.025033457,-8,Market,Filled,-320.200267656,""
2021-01-19T15:00:00Z,LLY,180.735059229,18,Market,Filled,3253.231066122,""
2021-01-19T15:00:00Z,SCHD,18.253284375005,161,Market,Filled,2938.7787843758,""
2021-01-25T15:00:00Z,SCHD,18.211717764161,-161,Market,Filled,-2932.08656003,""
2021-01-25T15:00:00Z,GOOGL,93.8523153584,-4,Market,Filled,-375.4092614336,""
2021-01-25T15:00:00Z,USMV,62.195318424,48,Market,Filled,2985.375284352,""
2021-02-01T15:00:00Z,USMV,60.625286028,-48,Market,Filled,-2910.013729344,""
2021-02-01T15:00:00Z,XLV,105.765748369,-27,Market,Filled,-2855.675205963,""
2021-02-01T15:00:00Z,JNJ,141.685990545,20,Market,Filled,2833.7198109,""
2021-02-01T15:00:00Z,LLY,197.030299669,-2,Market,Filled,-394.060599338,""
2021-02-01T15:00:00Z,SCHD,17.613158568017,168,Market,Filled,2959.0106394269,""
2021-02-08T15:00:00Z,JNJ,142.832471925,-20,Market,Filled,-2856.6494385,""
2021-02-08T15:00:00Z,GOOGL,103.5853721362,-3,Market,Filled,-310.7561164086,""
2021-02-08T15:00:00Z,LLY,191.156433929,2,Market,Filled,382.312867858,""
2021-02-08T15:00:00Z,USMV,62.176955472,49,Market,Filled,3046.670818128,""
2021-02-16T15:00:00Z,TSLA,272.039972796,-12,Market,Filled,-3264.479673552,""
2021-02-16T15:00:00Z,MSFT,234.542327953,14,Market,Filled,3283.592591342,""
2021-03-08T15:00:00Z,USMV,61.203719016,-49,Market,Filled,-2998.982231784,""
2021-03-08T15:00:00Z,MSFT,222.23400336,1,Market,Filled,222.23400336,""
2021-03-08T15:00:00Z,SCHD,19.444860552514,-12,Market,Filled,-233.33832663016,""
2021-03-08T15:00:00Z,XLV,103.917629146,29,Market,Filled,3013.611245234,""
2021-03-29T14:00:00Z,XLV,107.968421086,-29,Market,Filled,-3131.084211494,""
2021-03-29T14:00:00Z,GOOGL,100.4066441622,1,Market,Filled,100.4066441622,""
2021-03-29T14:00:00Z,LLY,176.295428271,1,Market,Filled,176.295428271,""
2021-03-29T14:00:00Z,USMV,64.0684499,48,Market,Filled,3075.2855952,""
2021-04-12T14:00:00Z,USMV,65.239197114,-48,Market,Filled,-3131.481461472,""
2021-04-12T14:00:00Z,AVGO,43.8881054235,3,Market,Filled,131.6643162705,""
2021-04-12T14:00:00Z,LLY,175.515317909,2,Market,Filled,351.030635818,""
2021-04-12T14:00:00Z,META,310.027092702,12,Market,Filled,3720.325112424,""
2021-04-19T14:00:00Z,LLY,180.043763425,-21,Market,Filled,-3780.919031925,""
2021-04-19T14:00:00Z,AAPL,130.38634752,26,Market,Filled,3390.04503552,""
2021-04-19T14:00:00Z,AVGO,43.3181182785,-7,Market,Filled,-303.2268279495,""
2021-04-19T14:00:00Z,GOOGL,113.201892085,-4,Market,Filled,-452.80756834,""
2021-04-19T14:00:00Z,META,303.795990666,-1,Market,Filled,-303.795990666,""
2021-04-19T14:00:00Z,MSFT,250.195570104,-2,Market,Filled,-500.391140208,""
2021-04-19T14:00:00Z,NVDA,15.871935855,216,Market,Filled,3428.33814468,""
2021-04-26T14:00:00Z,AAPL,130.54184704,-26,Market,Filled,-3394.08802304,""
2021-04-26T14:00:00Z,AVGO,42.1727155395,10,Market,Filled,421.727155395,""
2021-04-26T14:00:00Z,GOOGL,114.0538506902,3,Market,Filled,342.1615520706,""
2021-04-26T14:00:00Z,META,298.785311481,1,Market,Filled,298.785311481,""
2021-04-26T14:00:00Z,MSFT,250.58898954,2,Market,Filled,501.17797908,""
2021-04-26T14:00:00Z,NVDA,15.2263358247,32,Market,Filled,487.2427463904,""
2021-05-03T14:00:00Z,AVGO,41.27430723,-89,Market,Filled,-3673.41334347,""
2021-05-03T14:00:00Z,AMZN,172.964271634,21,Market,Filled,3632.249704314,""
2021-05-10T14:00:00Z,AMZN,164.194394147,-21,Market,Filled,-3448.082277087,""
2021-05-10T14:00:00Z,GOOGL,116.6325379702,-3,Market,Filled,-349.8976139106,""
2021-05-10T14:00:00Z,META,316.595547396,-1,Market,Filled,-316.595547396,""
2021-05-10T14:00:00Z,SCHD,21.603147143685,-11,Market,Filled,-237.63461858054,""
2021-05-10T14:00:00Z,USMV,67.221170744,46,Market,Filled,3092.173854224,""
2021-05-17T14:00:00Z,NVDA,14.2066917444,-248,Market,Filled,-3523.2595526112,""
2021-05-17T14:00:00Z,USMV,66.963053248,-46,Market,Filled,-3080.300449408,""
2021-05-17T14:00:00Z,COST,364.200776586,9,Market,Filled,3277.806989274,""
2021-05-17T14:00:00Z,XLV,113.901056085,27,Market,Filled,3075.328514295,""
2021-05-24T14:00:00Z,VIG,140.902545188,-23,Market,Filled,-3240.758539324,""
2021-05-24T14:00:00Z,JNJ,149.412646096,20,Market,Filled,2988.25292192,""
2021-06-01T14:00:00Z,JNJ,148.8410226,-20,Market,Filled,-2976.820452,""
2021-06-01T14:00:00Z,COST,358.374246291,1,Market,Filled,358.374246291,""
2021-06-01T14:00:00Z,GOOGL,116.876521459,2,Market,Filled,233.753042918,""
2021-06-01T14:00:00Z,NVDA,16.2030895206,231,Market,Filled,3742.9136792586,""
2021-06-07T14:00:00Z,COST,367.137726816,-10,Market,Filled,-3671.37726816,""
2021-06-07T14:00:00Z,GOOGL,118.6974713998,-2,Market,Filled,-237.3949427996,""
2021-06-07T14:00:00Z,NVDA,17.5334395251,-28,Market,Filled,-490.9363067028,""
2021-06-07T14:00:00Z,VIG,142.178671228,22,Market,Filled,3127.930767016,""
2021-06-14T14:00:00Z,XLV,114.915970315,-27,Market,Filled,-3102.731198505,""
2021-06-14T14:00:00Z,AVGO,42.586182405,81,Market,Filled,3449.480774805,""
2021-06-14T14:00:00Z,LLY,214.121481456,16,Market,Filled,3425.943703296,""
2021-06-14T14:00:00Z,MSFT,248.032232117,-2,Market,Filled,-496.064464234,""
2021-06-21T14:00:00Z,AVGO,41.934768525,-81,Market,Filled,-3396.716250525,""
2021-06-21T14:00:00Z,MSFT,249.513366079,-13,Market,Filled,-3243.673759027,""
2021-06-21T14:00:00Z,VIG,137.128858184,-22,Market,Filled,-3016.834880048,""
2021-06-21T14:00:00Z,LLY,208.894578102,1,Market,Filled,208.894578102,""
2021-06-21T14:00:00Z,NVDA,18.59549691675,-11,Market,Filled,-204.55046608425,""
2021-06-21T14:00:00Z,SCHD,20.643131303687,8,Market,Filled,165.14505042949,""
2021-06-21T14:00:00Z,USMV,66.419679184,47,Market,Filled,3121.724921648,""
2021-06-21T14:00:00Z,XLV,114.168624382,27,Market,Filled,3082.552858314,""
2021-06-28T14:00:00Z,USMV,68.009905356,-47,Market,Filled,-3196.465551732,""
2021-06-28T14:00:00Z,COST,373.760075883,9,Market,Filled,3363.840682947,""
2021-06-28T14:00:00Z,LLY,219.92171973,-2,Market,Filled,-439.84343946,""
2021-06-28T14:00:00Z,META,338.711990769,-1,Market,Filled,-338.711990769,""
2021-06-28T14:00:00Z,MSFT,254.889690006,13,Market,Filled,3313.565970078,""
2021-07-19T14:00:00Z,XLV,119.13408207,-27,Market,Filled,-3216.62021589,""
2021-07-19T14:00:00Z,GOOGL,125.929201516,-2,Market,Filled,-251.858403032,""
2021-07-19T14:00:00Z,LLY,222.129059172,1,Market,Filled,222.129059172,""
2021-07-19T14:00:00Z,USMV,69.600131528,47,Market,Filled,3271.206181816,""
2021-07-26T14:00:00Z,LLY,233.270867784,-16,Market,Filled,-3732.333884544,""
2021-07-26T14:00:00Z,NVDA,19.5126137052,-192,Market,Filled,-3746.4218313984,""
2021-07-26T14:00:00Z,VIG,145.960084129,23,Market,Filled,3357.081934967,""
2021-08-02T14:00:00Z,SCHD,21.393433024656,-153,Market,Filled,-3273.1952527724,""
2021-08-02T14:00:00Z,XLV,122.403739275,27,Market,Filled,3304.900960425,""
2021-08-09T14:00:00Z,VIG,147.04968014,-23,Market,Filled,-3382.14264322,""
2021-08-09T14:00:00Z,LLY,251.732252208,14,Market,Filled,3524.251530912,""
2021-08-09T14:00:00Z,NVDA,20.3187386604,182,Market,Filled,3698.0104361928,""
2021-08-23T14:00:00Z,GOOGL,136.3029629026,-28,Market,Filled,-3816.4829612728,""
2021-08-23T14:00:00Z,META,356.571837369,-10,Market,Filled,-3565.71837369,""
2021-08-23T14:00:00Z,LLY,259.706137676,1,Market,Filled,259.706137676,""
2021-08-23T14:00:00Z,VIG,148.377339145,23,Market,Filled,3412.678800335,""
2021-08-30T14:00:00Z,LLY,249.0076751,-15,Market,Filled,-3735.1151265,""
2021-08-30T14:00:00Z,VIG,148.661183484,-23,Market,Filled,-3419.207220132,""
2021-08-30T14:00:00Z,AAPL,144.88222118,28,Market,Filled,4056.70219304,""
2021-08-30T14:00:00Z,GOOGL,142.8235704112,29,Market,Filled,4141.8835419248,""
2021-08-30T14:00:00Z,MSFT,288.815167352,1,Market,Filled,288.815167352,""
2021-09-07T14:00:00Z,AAPL,150.43961459,-3,Market,Filled,-451.31884377,""
2021-09-07T14:00:00Z,GOOGL,142.5612385706,-3,Market,Filled,-427.6837157118,""
2021-09-07T14:00:00Z,META,373.330326762,10,Market,Filled,3733.30326762,""
2021-09-07T14:00:00Z,MSFT,290.183502924,-1,Market,Filled,-290.183502924,""
2021-09-07T14:00:00Z,NVDA,22.7940109022,-15,Market,Filled,-341.910163533,""
2021-09-13T14:00:00Z,AAPL,145.242964261,-25,Market,Filled,-3631.074106525,""
2021-09-13T14:00:00Z,META,375.741406053,-10,Market,Filled,-3757.41406053,""
2021-09-13T14:00:00Z,GOOGL,139.7212112528,2,Market,Filled,279.4424225056,""
2021-09-13T14:00:00Z,NVDA,22.4297936812,7,Market,Filled,157.0085557684,""
2021-09-13T14:00:00Z,PG,127.7315264,27,Market,Filled,3448.7512128,""
2021-09-27T14:00:00Z,PG,127.1999024,-27,Market,Filled,-3434.3973648,""
2021-09-27T14:00:00Z,USMV,70.224764099,2,Market,Filled,140.449528198,""
2021-09-27T14:00:00Z,VIG,145.54982288,23,Market,Filled,3347.64592624,""
2021-09-27T14:00:00Z,XLV,122.676611018,1,Market,Filled,122.676611018,""
