Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2009-02-09T15:00:00Z,NFLX,0.5285709,5658,Market,Filled,2990.6541522,"" 
2009-03-16T14:00:00Z,NFLX,0.562428009,-307,Market,Filled,-172.665398763,"" 
2009-04-06T14:00:00Z,NFLX,0.615285099,-414,Market,Filled,-254.728030986,"" 
2009-04-13T14:00:00Z,NFLX,0.670713615,-367,Market,Filled,-246.151896705,"" 
2009-04-27T14:00:00Z,NFLX,0.610427961,-4570,Market,Filled,-2789.65578177,"" 
2009-04-27T14:00:00Z,AMZN,4.213092842,720,Market,Filled,3033.42684624,"" 
2009-05-04T14:00:00Z,AMZN,3.938737992,45,Market,Filled,177.24320964,"" 
2009-05-18T14:00:00Z,AMZN,3.67136672,50,Market,Filled,183.568336,"" 
2009-06-08T14:00:00Z,AMZN,4.367729212,-117,Market,Filled,-511.024317804,"" 
2009-06-08T14:00:00Z,VIG,28.975713732,421,Market,Filled,12198.775481172,"" 
2009-06-15T14:00:00Z,AMZN,4.194137416,-698,Market,Filled,-2927.507916368,"" 
2009-06-15T14:00:00Z,DUK,20.906770059,194,Market,Filled,4055.913391446,"" 
2009-06-15T14:00:00Z,GOOGL,10.5339375388,288,Market,Filled,3033.7740111744,"" 
2009-06-15T14:00:00Z,VIG,29.060811276,-282,Market,Filled,-8195.148779832,"" 
2009-06-15T14:00:00Z,XLU,7.774423801,521,Market,Filled,4050.474800321,"" 
2009-06-22T14:00:00Z,DUK,20.550485634,-194,Market,Filled,-3986.794212996,"" 
2009-06-22T14:00:00Z,XLU,7.6649541,-521,Market,Filled,-3993.4410861,"" 
2009-06-22T14:00:00Z,VIG,28.309116304,74,Market,Filled,2094.874606496,"" 
2009-06-22T14:00:00Z,XLV,19.566919024,308,Market,Filled,6026.611059392,"" 
2009-06-29T14:00:00Z,JNJ,34.84800872,115,Market,Filled,4007.5210028,"" 
2009-06-29T14:00:00Z,VIG,28.27826428,-71,Market,Filled,-2007.75676388,"" 
2009-06-29T14:00:00Z,XLV,19.784495961,-105,Market,Filled,-2077.372075905,"" 
2009-07-06T14:00:00Z,JNJ,34.453967632,-115,Market,Filled,-3962.20627768,"" 
2009-07-06T14:00:00Z,AAPL,4.1862866297997,857,Market,Filled,3587.6476417383,"" 
2009-07-06T14:00:00Z,GOOGL,10.1285381443,66,Market,Filled,668.4835175238,"" 
