Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2019-07-01T14:00:00Z,META,191.4972441,18,Market,Filled,3446.9503938,"" 
2019-07-01T14:00:00Z,MSFT,126.052783268,28,Market,Filled,3529.477931504,"" 
2019-07-01T14:00:00Z,PG,91.87906836,32,Market,Filled,2940.13018752,"" 
2019-07-01T14:00:00Z,USMV,54.942144508,54,Market,Filled,2966.875803432,"" 
2019-07-01T14:00:00Z,VIG,101.647793528,29,Market,Filled,2947.786012312,"" 
2019-07-08T14:00:00Z,PG,94.81182476,-32,Market,Filled,-3033.97839232,"" 
2019-07-08T14:00:00Z,AMZN,96.917596657,35,Market,Filled,3392.115882995,"" 
2019-07-08T14:00:00Z,COST,243.491839425,13,Market,Filled,3165.393912525,"" 
2019-07-08T14:00:00Z,MSFT,128.969800498,-2,Market,Filled,-257.939600996,"" 
2019-07-08T14:00:00Z,XLU,24.593094288,123,Market,Filled,3024.950597424,"" 
2019-07-15T14:00:00Z,XLU,24.564723876,-123,Market,Filled,-3021.461036748,"" 
2019-07-15T14:00:00Z,META,203.274820719,-1,Market,Filled,-203.274820719,"" 
2019-07-15T14:00:00Z,PG,96.353616696,31,Market,Filled,2986.962117576,"" 
2019-07-22T14:00:00Z,PG,96.994477069,-31,Market,Filled,-3006.828789139,"" 
2019-07-22T14:00:00Z,XLU,24.467453892,124,Market,Filled,3033.964282608,"" 
2019-07-29T14:00:00Z,XLU,24.309390168,-124,Market,Filled,-3014.364380832,"" 
2019-07-29T14:00:00Z,PG,96.758337137,31,Market,Filled,2999.508451247,"" 
2019-08-05T14:00:00Z,AMZN,90.948133948,-35,Market,Filled,-3183.18468818,"" 
2019-08-05T14:00:00Z,META,187.548233574,-17,Market,Filled,-3188.319970758,"" 
2019-08-05T14:00:00Z,COST,247.34958525,1,Market,Filled,247.34958525,"" 
2019-08-05T14:00:00Z,MSFT,128.81924477,1,Market,Filled,128.81924477,"" 
2019-08-12T14:00:00Z,PG,98.445050937,-31,Market,Filled,-3051.796579047,"" 
2019-08-12T14:00:00Z,AAPL,48.1990802665,70,Market,Filled,3373.935618655,"" 
2019-08-12T14:00:00Z,META,186.387343545,18,Market,Filled,3354.97218381,"" 
2019-08-12T14:00:00Z,XLU,24.670099692,121,Market,Filled,2985.082062732,"" 
2019-08-19T14:00:00Z,VIG,102.936485596,-29,Market,Filled,-2985.158082284,"" 
2019-08-19T14:00:00Z,PG,100.511275342,29,Market,Filled,2914.826984918,"" 
2019-08-26T14:00:00Z,META,176.365985175,-18,Market,Filled,-3174.58773315,"" 
2019-08-26T14:00:00Z,NVDA,4.0356045365,829,Market,Filled,3345.5161607585,"" 
2019-09-09T14:00:00Z,PG,103.623262303,-29,Market,Filled,-3005.074606787,"" 
2019-09-09T14:00:00Z,COST,276.334360128,-2,Market,Filled,-552.668720256,"" 
2019-09-09T14:00:00Z,NVDA,4.442713309125,-42,Market,Filled,-186.59395898325,"" 
2019-09-09T14:00:00Z,VIG,106.414188848,29,Market,Filled,3086.011476592,"" 
2019-09-23T14:00:00Z,VIG,105.672749576,-29,Market,Filled,-3064.509737704,"" 
2019-09-23T14:00:00Z,AAPL,52.2134720455,-6,Market,Filled,-313.280832273,"" 
2019-09-23T14:00:00Z,AVGO,24.1592772982,138,Market,Filled,3333.9802671516,"" 
2019-09-23T14:00:00Z,GOOGL,60.9879377776,54,Market,Filled,3293.3486399904,"" 
2019-09-23T14:00:00Z,MSFT,131.646238248,-2,Market,Filled,-263.292476496,"" 
