Deploy,Time,Symbol,Price,Quantity,Type,Status,Value,Tag
L-febb349cd571b1181d4d333972447160,2025-11-17T14:31:00.3672997Z,SPY,669.12,49,"Market","Filled",32786.88,"" 
L-febb349cd571b1181d4d333972447160,2025-11-17T14:31:00.3672997Z,BND,74.21,443,"Market","Filled",32875.03,"" 
L-febb349cd571b1181d4d333972447160,2025-11-17T14:31:00.3672997Z,AAPL,268.03,122,"Market","Filled",32699.66,"" 
L-1eb64e3666b1ba1be3cf7de36a45be29,2026-04-27T14:00:00.6117056Z,AVGO,420.78,74,"Market","Filled",31137.72,"" 
L-1eb64e3666b1ba1be3cf7de36a45be29,2026-04-27T14:00:01.8000455Z,GOOGL,348.81,89,"Market","Filled",31044.09,"" 
L-1eb64e3666b1ba1be3cf7de36a45be29,2026-04-27T14:00:01.8000455Z,JNJ,227.5,114,"Market","Filled",25935,"" 
L-1eb64e3666b1ba1be3cf7de36a45be29,2026-04-27T14:00:02.8000718Z,SCHD,31.34,830,"Market","Filled",26012.2,"" 
L-1eb64e3666b1ba1be3cf7de36a45be29,2026-04-27T14:00:02.8000718Z,SGOV,100.65,258,"Market","Filled",25967.7,"" 
L-1eb64e3666b1ba1be3cf7de36a45be29,2026-05-04T14:00:00.5350395Z,JNJ,227,-114,"Market","Filled",-25878,"" 
L-1eb64e3666b1ba1be3cf7de36a45be29,2026-05-04T14:00:01.8010299Z,AAPL,275.37205607477,107,"Market","Filled",29464.81,"" 
L-1eb64e3666b1ba1be3cf7de36a45be29,2026-05-04T14:00:01.8010299Z,AVGO,420.85,-4,"Market","Filled",-1683.4,"" 
L-1eb64e3666b1ba1be3cf7de36a45be29,2026-05-04T14:00:01.8010299Z,COST,1014,29,"Market","Filled",29406,"" 
L-1eb64e3666b1ba1be3cf7de36a45be29,2026-05-04T14:00:02.8004616Z,GOOGL,382.64,-12,"Market","Filled",-4591.68,"" 
L-1eb64e3666b1ba1be3cf7de36a45be29,2026-05-04T14:00:03.8002493Z,VIG,228.1,115,"Market","Filled",26231.5,"" 
